id,name,sku,brand_id,brand_name,categories_id,categories_name,price,spid,seller_id,seller_name,quantity_sold
116714288,"Chậu, thau rửa mặt hình bò sữa ngộ nghĩnh cho bé trai, bé gái",7103896916161,111461,OEM,2549/11601/2567/2574/10453,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ca, Thau tắm, Chậu tắm",38500,116714449,212234,JANKIDS Store shop mẹ và bé,0
116758207,Dụng Cụ Lấy Ráy Tai Có Đèn Flashlight Earpick(có đầu to nhỏ cho cả người lớn trẻ em),3910823907440,111461,OEM,2549/11601/2567/2574/10460,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bông tắm cho bé,10000,120293904,215045,siêu thị gia dụng tiện ích,2
144709629,Phao bơi hình con vịt vàng,4979396393728,111461,OEM,2549/11601/2567/2574/10453,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ca, Thau tắm, Chậu tắm",99000,144709638,127088,giadunghp,0
126528428,Nón tắm gội đầu chắn nước có vành tai cho bé - Hồng  - GDHN Loại Tốt,9898371877305,111461,OEM,2549/11601/2567/2574/10458,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Mũ chắn nước gội đầu cho bé,22999,130857862,225733,kimthanhsg78,0
126527309,Mũ Nón Chắn Nước Gội Đầu Cho Bé Điều Chỉnh Được Kích Thước NKJP12 - Nhật Bản - Xanh - GDHN Loại Tốt,2424337594891,111461,OEM,2549/11601/2567/2574/10458,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Mũ chắn nước gội đầu cho bé,19999,130842248,225733,kimthanhsg78,1
105821801,Bông tắm gội silicon cho bé BT15- Thương hiệu Hinata Nhật Bản,3463081591408,245557,Hinata,2549/11601/2567/2574/10460,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bông tắm cho bé,150000,105821803,13311,Hinata,1
55282858,Tựa tắm trẻ em Notoro - Hàng chính hãng Inochi,5082667131711,197767,Inochi,2549/11601/2567/2574/10454,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ghế tắm, Kệ đỡ tắm",69000,101872623,156463,Gia dụng tiện ích store,3
89821791,BỆT THU NHỎ BỒN CẦU CHO BÉ,4375033699813,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",39000,89821799,47821,shopkidshp,2
89822903,Chậu rửa mặt gấp gọn cho bé hình cún,5221866271459,111461,OEM,2549/11601/2567/2574/10453,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ca, Thau tắm, Chậu tắm",54000,209475234,304235,Kawaii Baby,0
135477412,Chậu rửa mặt vương miện gấp gọn ,5030187405891,111461,OEM,2549/11601/2567/2574/10453,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ca, Thau tắm, Chậu tắm",55000,135477422,227302,MIK MOK BABY,1
119955029,"Chậu Rửa Mặt Gấp Gọn Cho Bé Hình Vương Miện Đa Chức Năng, Tiện Dụng",6704646830334,111461,OEM,2549/11601/2567/2574/10453,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ca, Thau tắm, Chậu tắm",48000,142754317,177660,Đồ Gia Dụng Hoàng Anh,0
119955029,"Chậu Rửa Mặt Gấp Gọn Cho Bé Hình Vương Miện Đa Chức Năng, Tiện Dụng",6704646830334,111461,OEM,2549/11601/2567/2574/10453,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ca, Thau tắm, Chậu tắm",51000,253585986,302285,MODDA,0
111031036,Bệ lót ếch cho bé có tay vịn,1827906128388,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",96900,155366762,167675,Đồ Gia Dụng Nội Thất Đại Dương,0
111031036,Bệ lót ếch cho bé có tay vịn,1827906128388,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",81999,124322978,188011,hahanguyen,0
100126178,Bệ lót thu nhỏ bồn cầu hình thú có tay vịn cho bé,6430066381256,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",136000,100126190,126343,NgocChauShop,1
100126178,Bệ lót thu nhỏ bồn cầu hình thú có tay vịn cho bé,6430066381256,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",92000,157083769,228030,Auto Win,0
4137269,Nắp Bô Combi,8730978886949,212613,Combi,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",488000,4296453,6654,MamanBébé,3
144709829,Ghế tắm có tựa đầu cho bé,3213213827864,111461,OEM,2549/11601/2567/2574/10454,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ghế tắm, Kệ đỡ tắm",150000,144709831,127088,giadunghp,3
121033778,Bô Thỏ có nhạc ,3177815734778,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",98000,121033780,219391,Manh Thu Shop,1
199592570,Bô vệ sinh cho bé mẫu Xe Hơi (2033) - Sunflower,9456510910535,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",367000,199592577,231681,Babyking Hàng Đầu Mẹ Và Bé,1
208322687,Dụng cụ ráy tai 6 món tiện lợi,2149363886350,111461,OEM,2549/11601/2567/2574/10460,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bông tắm cho bé,19000,208322688,132726,ATN SYSTEM,1
125875715,"Bô vệ sinh di động cho người già, bà bầu",6925297797535,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",282000,141052651,241961,siêu thị hà nội,0
120524114,Bộ 4 sinh vật biển nhỏ cao cấp an toàn phun nước giúp bé vui thích khi tắm + tặng 2 zipper bảo quản,5137937445200,26798,Munchkin ,2549/11601/2567/2574/10457,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Đồ chơi nhà tắm,199000,143115730,6913,Shop Con Của Mẹ,2
103690038,"Mũ đội đầu cho bé,Mũ tắm cho bé,Mũ gội đầu, tắm an toàn cho bé chỉnh 4 cỡ 206111-2",1681372717776,111461,OEM,2549/11601/2567/2574/10458,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Mũ chắn nước gội đầu cho bé,17000,103690055,172774,Vòi Xịt Rửa Xe Tưới Cây,0
41009228,Mũ Đội Đầu chống Nước Cho Bé - MU03 (Giao ngẫu nhiên mẫu),1022394016534,111461,OEM,2549/11601/2567/2574/10458,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Mũ chắn nước gội đầu cho bé,18999,130858060,225733,kimthanhsg78,1
53598364,Set 3 miếng tắm bọt biển cenllulose an toàn cho bé mamamy (giao màu ngẫu nhiên),9218772190916,79709,Mamamy,2549/11601/2567/2574/10460,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bông tắm cho bé,145000,53598365,70836,Mory,5
90920220,Bô vệ sinh cao cấp có tay vịn cho bé + tặng kèm chổi cọ +miếng dán decan,1684051999018,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",218999,133161248,76258,Shop 24h,0
141389,Thau Tròn Nhỏ KuKu KU1053,7902817702258,33255,Ku.Ku Duckbill,2549/11601/2567/2574/10453,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ca, Thau tắm, Chậu tắm",72680,54585953,106519,BABY BABY,4
54113635,ĐỒ CHƠI TOONYKIDS BỘ NHÀ TẮM - SFUNNY WATER BUCKET - TN001,3949611647853,749433,TOONY KIDS,2549/11601/2567/2574/10457,Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Đồ chơi nhà tắm,219000,54113636,683,GIA LONG OFFICIAL STORE,3
191004633,Bệ Thu Nhỏ Bồn Cầu Có Tay Vịn cho Bé / Lót Bồn Cầu cho Bé tập đi Vệ Sinh,6709092450815,111461,OEM,2549/11601/2567/2574/10455,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Bô vệ sinh, Bệ ngồi toilet",145000,191004634,110726,Shop Mẹ Và Bé UnMei,0
62757093,Chậu rửa mặt cho bé hình tai thỏ/hình vương miện Royal Care tặng xe trượt đà cho bé VBC-123-6 (ngẫu nhiên),4028468691963,198483,Royal Care,2549/11601/2567/2574/10453,"Đồ Chơi - Mẹ & Bé/Đồ dùng cho bé/Đồ dùng vệ sinh cho bé/Dụng cụ tắm cho bé/Ca, Thau tắm, Chậu tắm",91000,62757095,60368,TILOMART,2
